Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ldvwszvPNuDAtUM0OJxmj,"Stay - Live","PERMISSION TO DANCE ON STAGE - LIVE","BTS",2025-07-18,136045,55,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.409,0.819,6,-6.109,1,0.181,0.513,0,0.451,0.419,127.823,4
spotify:track:1M1YZZAhOheB9gFmzqrVLw,"So What - Live","PERMISSION TO DANCE ON STAGE - LIVE","BTS",2025-07-18,174327,55,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.577,0.914,9,-5.429,0,0.117,0.0272,0.00000298,0.36,0.236,127.907,4
spotify:track:3yzvhUle7G7w8m37pYaM8q,"IDOL - Live","PERMISSION TO DANCE ON STAGE - LIVE","BTS",2025-07-18,262062,55,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.559,0.983,1,-5.286,0,0.185,0.0453,0,0.925,0.13,125.935,4
spotify:track:5TOeixpcODZEealpmHEfOl,"Airplane pt.2 - Live","PERMISSION TO DANCE ON STAGE - LIVE","BTS",2025-07-18,115956,56,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.643,0.859,0,-6.383,0,0.0478,0.21,0.00000391,0.869,0.629,139.983,4
spotify:track:0x7ckKKeJUC1bZVPGFEdFW,"Silver Spoon - Live","PERMISSION TO DANCE ON STAGE - LIVE","BTS",2025-07-18,93273,56,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.52,0.906,9,-4.623,0,0.246,0.0242,0,0.748,0.428,166.957,4
spotify:track:1Mqkv1ZaIW5OLrhId4hsFT,"Dis-ease - Live","PERMISSION TO DANCE ON STAGE - LIVE","BTS",2025-07-18,236479,54,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.459,0.958,5,-4.398,0,0.386,0.129,0,0.941,0.439,202.097,4
spotify:track:3znJC1qQ4H4OHmteu5atiX,"Spring Day - Live","PERMISSION TO DANCE ON STAGE - LIVE","BTS",2025-07-18,296931,54,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.493,0.789,8,-6.548,1,0.035,0.195,0.00508,0.967,0.319,107.03,4
spotify:track:4UAnQaQTSMjKjHkqjKwEYx,"Permission to Dance - Live","PERMISSION TO DANCE ON STAGE - LIVE","BTS",2025-07-18,279286,64,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.589,0.906,9,-5.721,1,0.0642,0.0967,0.00000329,0.951,0.404,125.007,4
spotify:track:59bY27SZQ4r25o02vqOhgC,"Girl Of My Dreams (with SUGA of BTS)","Fighting Demons (Deluxe)","Juice WRLD;SUGA;BTS",2022-03-18,226149,65,true,,2025-09-15T13:00:30Z,"мелодійний реп,емо-реп,кей-поп","Grade A Productions/Interscope Records",0.603,0.771,9,-6.336,1,0.0627,0.194,0,0.13,0.332,139.988,4
spotify:track:6fqaMyg066xlukvUJWdM2T,"00:00 (Zero O’Clock)","MAP OF THE SOUL : 7","BTS",2020-02-21,250295,71,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.56,0.547,1,-6.456,1,0.0675,0.0806,0,0.11,0.199,157.962,4
spotify:track:4Aw8n6r2vuU0KUo1a2nftp,"Louder than bombs","MAP OF THE SOUL : 7","BTS",2020-02-21,217404,69,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.643,0.667,0,-6.947,0,0.151,0.0432,0,0.0904,0.478,145.999,4
spotify:track:0YJFlxeHMUr9MxSDQVuQJA,"My Time","MAP OF THE SOUL : 7","BTS",2020-02-21,234457,70,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.674,0.641,0,-5.139,0,0.0339,0.149,0,0.0925,0.664,99.91,4
spotify:track:6FHVHycPPTQp6aAHjLhzFT,"Her","Love Yourself 結 'Answer'","BTS",2018-08-24,228612,56,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.48,0.927,3,-5.704,1,0.27,0.317,0,0.0583,0.45,88.804,4
spotify:track:2QZe2H1f03t5PJWEMg2Mbe,"UGH!","MAP OF THE SOUL : 7","BTS",2020-02-21,225012,67,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.72,0.824,10,-5.086,0,0.128,0.0394,0,0.0509,0.333,165.996,4
spotify:track:5PRJlVG1c2JNa85mFoGARM,"Silver Spoon","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,233184,58,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.649,0.875,9,-2.88,1,0.0702,0.00128,0,0.0486,0.557,166.925,4
spotify:track:1ZoQVu9XBssJBdeKMgF2eV,"SUGA's Interlude","Manic","Halsey;SUGA;BTS",2020-01-17,138204,60,false,,2025-09-15T13:00:30Z,"кей-поп","Capitol Records",0.441,0.732,0,-6.88,1,0.186,0.0866,0,0.0425,0.244,78.7,4
spotify:track:6Yc3tjFCVR2bfAQFRTZBef,"HOME","MAP OF THE SOUL : PERSONA","BTS",2019-04-12,234177,71,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.633,0.799,7,-4.625,0,0.0427,0.0144,0,0.194,0.534,142.991,4
spotify:track:0jSccBRnhNU4KtACMQPvco,"Mikrokosmos","MAP OF THE SOUL : PERSONA","BTS",2019-04-12,224225,72,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.579,0.858,8,-5.212,1,0.114,0.125,0,0.0502,0.475,174.043,3
spotify:track:5RjUtRlDonw3TBgGGMLC5b,"Friends","MAP OF THE SOUL : 7","BTS",2020-02-21,199338,66,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.55,0.747,1,-5.211,1,0.0407,0.0668,0,0.0536,0.649,79.979,4
spotify:track:133ocfbXXG4HTk76qgSeUb,"We are Bulletproof : the Eternal","MAP OF THE SOUL : 7","BTS",2020-02-21,261542,69,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.522,0.574,9,-5.225,0,0.0317,0.224,0,0.108,0.176,84.044,4
spotify:track:7om4LRoSct9hiMPo0fPn7m,"Interlude : Shadow","MAP OF THE SOUL : 7","BTS",2020-02-21,259821,63,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.384,0.798,9,-6.439,0,0.434,0.115,0,0.181,0.146,149.854,4
spotify:track:1WjGvMbHE23jEipydV80Mu,"FAKE LOVE (Rocking Vibe Mix)","Love Yourself 結 'Answer'","BTS",2018-08-24,238494,56,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.466,0.804,2,-4.009,0,0.0392,0.0573,0,0.432,0.352,154.901,4
spotify:track:6GxNA9J3P70amAXKUPghid,"21st Century Girl","You Never Walk Alone","BTS",2017-02-13,192596,55,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.716,0.906,2,-3.539,1,0.0719,0.00424,0,0.0547,0.763,101.029,4
